qid	cid	question_category	question_subject	question	comment	comment_gold
Q1	Q1_C1	Beauty and Style	Massage oil	Where I can buy good oil for massage?	I've done it once at the Sharq Village & Spa ... It's great	Bad
Q1	Q1_C4	Beauty and Style	Massage oil	Where I can buy good oil for massage?	You might be able to find Body Massage Oil in Body Shop at Landmark or City Centre, and if they do have it there, its guaranteed to be good for massage, as some places sell duplicates, so watch out as this could cause allergies to the skin. Good Luck !	Good
Q1	Q1_C5	Beauty and Style	Massage oil	Where I can buy good oil for massage?	Hi. According to your body nature in your picture!!!!!!!! I advise you to use car oil any type forever like my car. It is helpfull to maintaine your body brigthness.	Bad
Q1	Q1_C6	Beauty and Style	Massage oil	Where I can buy good oil for massage?	Oh SORRY. Iam stupied also, your ?WHERE? My answer is in PETROL STATIONS.........	Bad
Q17	Q17_C1	Doha Shopping	rolex watch	I have a rolex oyster perpetual watch day-date( gift).I don't know what happened to it..it just stops when i don't use it after 4 hours-more or less then when i adjust it,it moves.do anyone have an idea where I can have it checked?thanks!	Go to 51 East (either in City Centre or in Al Maha near Jarir). They are the agents of Rolex and will have technicians.	Good
Q17	Q17_C2	Doha Shopping	rolex watch	I have a rolex oyster perpetual watch day-date( gift).I don't know what happened to it..it just stops when i don't use it after 4 hours-more or less then when i adjust it,it moves.do anyone have an idea where I can have it checked?thanks!	as aby said these are motion watches......	Bad
Q17	Q17_C3	Doha Shopping	rolex watch	I have a rolex oyster perpetual watch day-date( gift).I don't know what happened to it..it just stops when i don't use it after 4 hours-more or less then when i adjust it,it moves.do anyone have an idea where I can have it checked?thanks!	Rolex agent is Modern home, u must take advice from them, according to advice u have to take dession. Secundly your watch is not aut. Best of luck.	Good
Q19	Q19_C1	Family Life in Qatar	Giving a birth in qatar	Hi all, My wife is nearly to give birth and i am wondering which is the best clinic/hospital in qatar, Some people are considering that hamad is the best other al ahly other clinic al doha ... Please can you share with us your idea and experience and give us advice. Thanks in advance	even if you go to al ahli after delivery you will be referred to hamad for further proceedings...birth certificate, immunization etc..better go to hamad inshallah everything will be fine...to go to ahli is to simply increase your expenses...	Good
Q19	Q19_C2	Family Life in Qatar	Giving a birth in qatar	Hi all, My wife is nearly to give birth and i am wondering which is the best clinic/hospital in qatar, Some people are considering that hamad is the best other al ahly other clinic al doha ... Please can you share with us your idea and experience and give us advice. Thanks in advance	Al Ahli is the best if u have insurance. I just delivered 6 months back there and was well taken care of. Hamad has limited number of beds in the labour room and some times u have to wait your turn!!!!	Good
Q19	Q19_C3	Family Life in Qatar	Giving a birth in qatar	Hi all, My wife is nearly to give birth and i am wondering which is the best clinic/hospital in qatar, Some people are considering that hamad is the best other al ahly other clinic al doha ... Please can you share with us your idea and experience and give us advice. Thanks in advance	Best is Doha clinc hospital and Dr Maha yehia Mohmoud best gynac	Good
Q19	Q19_C5	Family Life in Qatar	Giving a birth in qatar	Hi all, My wife is nearly to give birth and i am wondering which is the best clinic/hospital in qatar, Some people are considering that hamad is the best other al ahly other clinic al doha ... Please can you share with us your idea and experience and give us advice. Thanks in advance	you will only pay 100 QR per day in hamad.. that's all.. everything is free.. even if C-section is going to be performed only room charge 100 QR/day is going to be paid by the patient.. the shorter she stays in hamad the cheaper it gets...my wife delivered our third baby in 2010 in hamad... now even if i have AXA insurance i will still consider hamad when my wife delivers our next baby in 3 weeks from now.. that is because i am very much satisfied with hamad...best service at lowest cost...	Good
Q19	Q19_C6	Family Life in Qatar	Giving a birth in qatar	Hi all, My wife is nearly to give birth and i am wondering which is the best clinic/hospital in qatar, Some people are considering that hamad is the best other al ahly other clinic al doha ... Please can you share with us your idea and experience and give us advice. Thanks in advance	hamad hosp will charge 200 QR per day for visit visa pregnant women who will deliver their babies...check hamad women's hospital for more info...	Good
Q21	Q21_C1	Moving to Qatar	ZAGU In DOHA?	"TO all Filipinos here in DOHA. Would you like to have the ZAGU ( black pearl shake) here in DOHA? Just ""YES"" or ""NO"" Please."	set-up a store to open on each and every mall, 1. City Center 2. Villagio 3. Hyatt Plaza 4. Landmark 5. The Mall 6. Centrepoint 7. Lulu Hypermarket you may also consider setting-up stores in 1. Souq Waqif 2. Souq Asiery (Pilipino Souq) <em>&quot;How far you go in life depends on you being tender with the young, compassionate with the aged, tolerant of the weak. Someday you will have been all of these.&quot;</em>	Bad
Q21	Q21_C2	Moving to Qatar	ZAGU In DOHA?	"TO all Filipinos here in DOHA. Would you like to have the ZAGU ( black pearl shake) here in DOHA? Just ""YES"" or ""NO"" Please."	Oh my Yhes!!!! :)	Good
Q21	Q21_C3	Moving to Qatar	ZAGU In DOHA?	"TO all Filipinos here in DOHA. Would you like to have the ZAGU ( black pearl shake) here in DOHA? Just ""YES"" or ""NO"" Please."	Although I love Quickly better... :(	Bad
Q21	Q21_C5	Moving to Qatar	ZAGU In DOHA?	"TO all Filipinos here in DOHA. Would you like to have the ZAGU ( black pearl shake) here in DOHA? Just ""YES"" or ""NO"" Please."	RefinedSoul sorry to say u dont have one	Bad
Q21	Q21_C6	Moving to Qatar	ZAGU In DOHA?	"TO all Filipinos here in DOHA. Would you like to have the ZAGU ( black pearl shake) here in DOHA? Just ""YES"" or ""NO"" Please."	bigger n longer 4 u, would u try!	Bad
Q21	Q21_C7	Moving to Qatar	ZAGU In DOHA?	"TO all Filipinos here in DOHA. Would you like to have the ZAGU ( black pearl shake) here in DOHA? Just ""YES"" or ""NO"" Please."	We are on the process of registration by the way..	Good
Q21	Q21_C8	Moving to Qatar	ZAGU In DOHA?	"TO all Filipinos here in DOHA. Would you like to have the ZAGU ( black pearl shake) here in DOHA? Just ""YES"" or ""NO"" Please."	ITS A BIG YESSSSSSSSSSSSSSSSSSSSSS............. ;) temper is something u cant get rid of... by loosing it...	Good
Q21	Q21_C10	Moving to Qatar	ZAGU In DOHA?	"TO all Filipinos here in DOHA. Would you like to have the ZAGU ( black pearl shake) here in DOHA? Just ""YES"" or ""NO"" Please."	"Zagu?? what does it look like. <img src=""http://www.qatarliving.com/files/images/Da.gif"">"	Bad
Q21	Q21_C11	Moving to Qatar	ZAGU In DOHA?	"TO all Filipinos here in DOHA. Would you like to have the ZAGU ( black pearl shake) here in DOHA? Just ""YES"" or ""NO"" Please."	YESSSSSSSSSSSSSSSSSSSSS	Good
Q21	Q21_C12	Moving to Qatar	ZAGU In DOHA?	"TO all Filipinos here in DOHA. Would you like to have the ZAGU ( black pearl shake) here in DOHA? Just ""YES"" or ""NO"" Please."	yep!love it...are u planning to put up a zagu business here?;)	Good
Q29	Q29_C1	Sightseeing and Tourist attractions	Anyone who has a printable map of Doha?	It is very hard to find in the internet, even here in QL I could not find a Doha Map. Anyone who has Doha map that I can print? Or at least an internet link.	please use this link - 'http://www.dohamap.info/map/	Good
Q29	Q29_C2	Sightseeing and Tourist attractions	Anyone who has a printable map of Doha?	It is very hard to find in the internet, even here in QL I could not find a Doha Map. Anyone who has Doha map that I can print? Or at least an internet link.	Go to any stationery shop and buy one! There's also a good one in Marhaba	Good
